3.60,3.50,8.00,3.10,4.60,5.50,3.50,6.00,3.80,7.00,6.50,5.50
6.50,4.20,2.60,8.50,3.20,3.60,4.80,5.00,4.20,2.25,8.00,4.50
4.80,5.50,6.00,7.00,6.50,3.60,7.00,4.50,9.00,4.80,3.50,3.90
4.00,7.50,9.00,3.40,15.00,11.00,5.00,4.20,8.50,3.60,3.30,12.00
4.60,6.00,3.00,3.30,2.90,4.40,2.60,4.50,3.00,10.00,8.00,3.20

5,4,3,2,6,1,6,3,6,5,5,6
3,6,6,5,4,6,1,4,1,2,6,2
2,2,1,6,5,3,5,2,5,6,2,4

6.50,3.40,3.60,7.00,7.50,4.40,9.00,3.80,6.50,7.00,5.00,2.80
2.70,8.50,5.00,4.40,4.00,3.00,7.00,3.50,7.50,5.50,3.00,6.50
7.50,7.50,5.00,2.70,9.00,8.00,2.60,3.80,7.00,3.60,6.50,4.20
7.00,4.20,5.50,5.00,2.70,7.50,14.00,8.50,7.50,3.30,7.50,3.50
7.50,3.40,5.00,3.40,3.20,3.40,4.80,3.30,9.50,5.50,11.00
2.90,5.00,2.70,7.50,9.00,7.50,3.70,7.50,2.45,3.80,3.70,7.00

6,5,6,3,5,2,3,3,6,1,5,1
4,3,3,5,4,5,6,6,5,6,1,4
1,2,4,1,2,1,5,5,4,4,4,3

11.00,3.60,7.00,4.40,4.60,9.00,4.40,2.45,2.50,3.30,2.00,11.00
5.50,8.00,8.50,3.40,11.00,3.40,5.50,4.60,9.50,3.30,13.00,2.15
3.00,4.20,3.30,5.00,1.75,7.50,5.50,6.00,8.00,6.50,3.50,4.20
3.00,8.00,2.70,3.50,4.60,11.00,4.50,-,2.70,3.70,4.50,10.00
6.00,4.40,4.80,5.00,15.00,2.60,4.40,3.00,6.50,9.50,9.50,3.80
5.00,3.40,8.00,11.00,10.00,3.80,4.20,8.50,8.50,7.00,9.50,8.50

1,1,1,2,3,5,6,2,1,2,1,3
4,3,4,1,4,6,3,3,3,6,3,5
3,6,3,5,6,3,4,5,4,4,5,4

7.00,7.00,6.00,6.50,6.50,5.50,4.80,6.00,7.00,9.50,8.50
5.50,7.00,11.00,3.70,9.00,3.10,-,2.60,5.00,2.60,3.90
2.80,10.00,3.80,3.20,7.00,4.40,1.50,7.00,2.15,3.80,5.00
8.00,2.80,6.00,7.00,5.00,7.00,11.00,4.40,9.00,6.00,2.35
3.30,5.00,-,11.00,3.20,4.80,12.00,5.00,4.40,5.00,8.50
5.50,3.00,1.90,3.40,2.90,5.50,6.00,7.00,7.00,7.00,6.50

3,4,3,3,1,1,6,5,5,6,4
6,6,4,2,6,5,5,3,1,5,2
2,1,6,6,5,4,3,4,3,4,5
